"0@ID_REP";"1@REGION";"2@DEPARTEMENT";"3@COMMUNE";"4@CAV";"5@CONCESSIONS";"6@MENAGES";"7@QUARTIERS-VILLAGES";"8@HOMMES";"9@FEMMES";"10@POPULATION";"11@OBSERVATIONS"
14743;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;9;"AMALY IV";28;32;61;"-"
14744;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";24;27;"AMALY MAURE";85;85;170;"-"
14745;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";15;16;"BALDIENE SOWENABE";68;69;137;"-"
14746;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";6;13;"BAYTIL MAKHDISS (BOGAL DANAYAL II)";39;64;104;"-"
14747;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";9;15;"BEDE PAMPINABE";39;44;84;"-"
14748;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";11;21;"BELEL BAWAMY";53;53;107;"-"
15166;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";8;8;"BELEL DOCKY";28;31;59;"-"
14749;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";10;21;"BELEL DOUTEY I";61;84;145;"-"
14750;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";13;27;"BELEL HOTONDE";67;66;133;"-"
14751;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";12;25;"BELEL MOUTHIETEKY";91;109;201;"-"
14752;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;6;"BELEL NAMARY";24;25;49;"-"
14753;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";21;44;"BELEL NDOULO";129;150;279;"-"
15167;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";29;34;"BELEL NELBY KHOUBE";132;133;266;"-"
14754;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;6;"BELEL SAMBA";29;24;53;"-"
14755;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";14;30;"BOCKY SAKEYAL";74;64;138;"-"
14756;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";9;10;"BOCKY THIAWO II";33;44;77;"-"
15168;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";10;13;"BODE";62;66;128;"-"
15169;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";12;14;"BODE THIEL";43;49;92;"-"
14757;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";4;13;"BOGAL DANAYAL I";36;31;68;"-"
15170;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";9;15;"BOULERY";54;64;118;"-"
