0@ID_REP;1@REGION;2@DEPARTEMENT;3@COMMUNE;4@CAV;5@CONCESSIONS;6@MENAGES;7@QUARTIERS-VILLAGES;8@HOMMES;9@FEMMES;10@POPULATION;11@OBSERVATIONS;Proba;n
16105;MATAM;RANEROU;VELINGARA;VELINGARA;15;38;BOKI MBONO DIAO (SINTHIOU DIAOBE);132;102;234;-;0,019348269;3
16106;MATAM;RANEROU;VELINGARA;VELINGARA;9;10;BOKI MBONO DJENGUEL;36;31;68;-;0,00509165;1
16107;MATAM;RANEROU;VELINGARA;VELINGARA;16;32;BOKI NDAR;138;142;281;-;0,016293279;2
16108;MATAM;RANEROU;VELINGARA;VELINGARA;23;46;BOULOGNE BALI;188;143;331;-;0,023421589;3
16109;MATAM;RANEROU;VELINGARA;VELINGARA;14;35;BOULOGNE THIEKEY;121;118;239;-;0,017820774;3
16110;MATAM;RANEROU;VELINGARA;VELINGARA;19;30;BOULY BOGUEL;134;113;248;-;0,015274949;2
16111;MATAM;RANEROU;VELINGARA;VELINGARA;14;46;BOUNDOU MBABA BARKEDJI;113;141;254;-;0,023421589;3
16112;MATAM;RANEROU;VELINGARA;VELINGARA;4;22;BOUNDOU MBABA MBOURLOGME;56;68;124;-;0,011201629;2
16113;MATAM;RANEROU;VELINGARA;VELINGARA;17;54;BOUNDOU MBABA SANTHIE;143;151;294;-;0,027494908;4
16115;MATAM;RANEROU;VELINGARA;VELINGARA;6;13;DAROU RAHMANE BOUNDOU MBABA;27;31;58;-;0,006619145;1
16117;MATAM;RANEROU;VELINGARA;VELINGARA;22;37;DAYANE GASSEL;161;137;298;-;0,018839104;3
16118;MATAM;RANEROU;VELINGARA;VELINGARA;23;47;DAYANE GUELODE;167;157;325;-;0,023930754;3
16119;MATAM;RANEROU;VELINGARA;VELINGARA;18;43;DAYANE KADIOLY;165;177;343;-;0,021894094;3
16120;MATAM;RANEROU;VELINGARA;VELINGARA;15;31;DAYANE MBOURDI;113;121;234;-;0,015784114;2
16121;MATAM;RANEROU;VELINGARA;VELINGARA;10;21;DAYANE SELLE;89;105;194;-;0,010692464;2
16122;MATAM;RANEROU;VELINGARA;VELINGARA;12;15;DEMEREDJI;65;57;123;-;0,007637475;1
16123;MATAM;RANEROU;VELINGARA;VELINGARA;10;15;DIAM WELI;46;37;84;-;0,007637475;1
16124;MATAM;RANEROU;VELINGARA;VELINGARA;17;20;FASS VELINGARA;105;72;177;-;0,010183299;1
16125;MATAM;RANEROU;VELINGARA;VELINGARA;10;16;GAMBOL;62;75;137;-;0,00814664;1
16126;MATAM;RANEROU;VELINGARA;VELINGARA;10;10;GUELEMOUNE;48;46;94;-;0,00509165;1
16127;MATAM;RANEROU;VELINGARA;VELINGARA;5;8;KAWEL;32;29;62;-;0,00407332;1
16129;MATAM;RANEROU;VELINGARA;VELINGARA;10;10;KHOL KHOL II;49;35;85;-;0,00509165;1
16130;MATAM;RANEROU;VELINGARA;VELINGARA;11;20;KOUSSOUS;54;45;99;-;0,010183299;1
16131;MATAM;RANEROU;VELINGARA;VELINGARA;27;31;LOUMBOL DAHRA;94;65;159;-;0,015784114;2
16132;MATAM;RANEROU;VELINGARA;VELINGARA;10;10;MBAKEDJI ALPHA;55;53;109;-;0,00509165;1
16133;MATAM;RANEROU;VELINGARA;VELINGARA;27;36;MBAKEDJI SAMBA NIAKI;139;144;284;-;0,018329939;3
16134;MATAM;RANEROU;VELINGARA;VELINGARA;10;11;MBELONE;39;30;70;-;0,005600815;1
16135;MATAM;RANEROU;VELINGARA;VELINGARA;27;36;MBEM MBEM;109;89;198;-;0,018329939;3
16136;MATAM;RANEROU;VELINGARA;VELINGARA;7;7;MBONAYE FERLO;31;25;56;-;0,003564155;1
16137;MATAM;RANEROU;VELINGARA;VELINGARA;12;14;MBONAYE II;70;63;133;-;0,00712831;1
16138;MATAM;RANEROU;VELINGARA;VELINGARA;14;30;MEDINA BABABE;51;54;106;-;0,015274949;2
16139;MATAM;RANEROU;VELINGARA;VELINGARA;18;27;MEDINA MBEM MBEM;121;111;232;-;0,013747454;2
16140;MATAM;RANEROU;VELINGARA;VELINGARA;10;11;MEDINA NDIAYE;65;61;126;-;0,005600815;1
16141;MATAM;RANEROU;VELINGARA;VELINGARA;49;92;NDIANOYE (KODIELE);349;273;623;-;0,046843177;7
16143;MATAM;RANEROU;VELINGARA;VELINGARA;4;10;NDIOGO NDIEGEL;55;34;90;-;0,00509165;1
16144;MATAM;RANEROU;VELINGARA;VELINGARA;16;24;NELBA;91;116;208;-;0,012219959;2
16146;MATAM;RANEROU;VELINGARA;VELINGARA;6;8;NIAROUWEL;34;27;62;-;0,00407332;1
16147;MATAM;RANEROU;VELINGARA;VELINGARA;23;38;REWANE;150;125;275;-;0,019348269;3
16148;MATAM;RANEROU;VELINGARA;VELINGARA;25;52;SAB SABRE (LOUMBY PATHE DJIBEL);203;192;395;-;0,026476578;4
16149;MATAM;RANEROU;VELINGARA;VELINGARA;10;21;SAB SABRE DIAM DIAM;83;64;147;-;0,010692464;2
16150;MATAM;RANEROU;VELINGARA;VELINGARA;6;10;SALDAW;39;48;88;-;0,00509165;1
16151;MATAM;RANEROU;VELINGARA;VELINGARA;9;27;SESSOUM;119;102;222;-;0,013747454;2
16152;MATAM;RANEROU;VELINGARA;VELINGARA;1;13;SESSOUM DOUBEL;68;61;129;-;0,006619145;1
16154;MATAM;RANEROU;VELINGARA;VELINGARA;5;7;SEWELDE II;42;41;83;-;0,003564155;1
16155;MATAM;RANEROU;VELINGARA;VELINGARA;13;18;SINTHIANG BELEL TOUFLE;72;74;147;-;0,009164969;1
16157;MATAM;RANEROU;VELINGARA;VELINGARA;9;9;SOUSSET;41;36;77;-;0,004582485;1
16158;MATAM;RANEROU;VELINGARA;VELINGARA;21;22;THIAFALY;78;97;176;-;0,011201629;2
16159;MATAM;RANEROU;VELINGARA;VELINGARA;13;20;THIASKY BISNABES;78;91;170;-;0,010183299;1
16160;MATAM;RANEROU;VELINGARA;VELINGARA;11;24;THIASKY DIONABES;86;85;171;-;0,012219959;2
16162;MATAM;RANEROU;VELINGARA;VELINGARA;23;32;THIONOKH DIABE;134;118;253;-;0,016293279;2
16163;MATAM;RANEROU;VELINGARA;VELINGARA;104;184;THIONOKH SANGHE;765;730;1495;-;0,093686354;13
16164;MATAM;RANEROU;VELINGARA;VELINGARA;6;7;VELINGARA LAOBES;26;23;49;-;0,003564155;1
16165;MATAM;RANEROU;VELINGARA;VELINGARA;56;72;VELINGARA MAURE I;319;263;582;-;0,036659878;5
16166;MATAM;RANEROU;VELINGARA;VELINGARA;19;23;VELINGARA MAURE II;100;95;195;-;0,011710794;2
16167;MATAM;RANEROU;VELINGARA;VELINGARA;11;14;VELINGARA NDIALALE;67;61;128;-;0,00712831;1
16168;MATAM;RANEROU;VELINGARA;VELINGARA;23;32;VELINGARA NDIAO;130;116;247;-;0,016293279;2
16169;MATAM;RANEROU;VELINGARA;VELINGARA;50;63;VELINGARA OUOLOF I ET II;270;211;481;-;0,032077393;5
16170;MATAM;RANEROU;VELINGARA;VELINGARA;4;7;VELINGARA OUROUBES (THIANGAL);24;18;43;-;0,003564155;1
16171;MATAM;RANEROU;VELINGARA;VELINGARA;32;32;VELINGARA THIANOR;137;154;292;-;0,016293279;2
16172;MATAM;RANEROU;VELINGARA;VELINGARA;17;28;WABINDOU;150;152;303;-;0,014256619;2
16174;MATAM;RANEROU;VELINGARA;VELINGARA;21;25;WENDOU ILO;115;88;204;-;0,012729124;2
16175;MATAM;RANEROU;VELINGARA;VELINGARA;11;14;WENDOU KOBA;68;48;116;-;0,00712831;1
16177;MATAM;RANEROU;VELINGARA;VELINGARA;24;25;WENDOU NAMARI;85;75;161;-;0,012729124;2
16179;MATAM;RANEROU;VELINGARA;VELINGARA;15;35;WOULI DIE;112;117;230;-;0,017820774;3
16180;MATAM;RANEROU;VELINGARA;VELINGARA;6;9;WOURO BA<cf>DY (SORRO COUM);41;33;74;-;0,004582485;1
