reference_enquete;nom_region_men;nom_departement_men;nom_cav_men;nom_commune_men;nom_quatier_men;milieu_de_residence;m1;m1_autre;m2;m2_autre;m3;m4;m4_autre;m5;m5_autre;m6;m6_autre;m7;m7_autre;m8;m8_autre;m9;m9_autre;m10;m10_autre;m11a;m11b;m11c;m11d;m11e;m11f;m11g;m11h;m11i;m11j;m11k;m11l;m11m;m11n;m11o;m12a;m12b;m12c;m12d;m12e;m12f;m12g;m12h;m12i;m12j;m12k;m12l;m12m;m12n;m12o;m12p;m12q;m12r;m12s;m13;m13_autre;m14;m14_1;m14_2;m14_3;m14_4;m14_5;m14_6;m14_7;m14_8;m14a;m14b;m14c;m14d;m14e;m14f;m14g;m14h;m15;m15a;m15b;m15c;m15d;m15e;m15f;m15g;m16a;m16b;m16c;m16d;m16e;m16f;m16g;m17;m18;m19a1;m19a2;m19a3;m19a4;m19a5;m19a6;m19a7;m19a8;m19a9;m19a10;m19a11;m19a12;m19a13;m19a14;m19a15;m19a16;m19a17;m19a18;m19b1;m19b2;m19b3;m19b4;m19b5;m19b6;m19b7;m19b8;m19b9;m19b10;m19b11;m19b12;m19b13;m19b14;m19b15;m19b16;m19b17;m19b18;m20z;m20a;m20b;m20c;m20d;m20e;m21a1;deces_soutien_famille_s1;deces_soutien_famille_s2;deces_soutien_famille_s3;mois_du_deces;m21a2;m21a__incendie_s1;m21a__incendie_s2;m21a__incendie_s3;m21c_mois_de_l_incendie;m21a3;m21a__inondation_s1;m21a__inondation_s2;m21a__inondation_s3;m21c_mois_de_l_inondation;m21a4;m21a__s_cheresse_s1;m21a__s_cheresse_s2;m21a__s_cheresse_s3;m21c_mois_de_la_secheresse;m21a5;m21_a_un_accident_grave_s1;m21_a_un_accident_grave_sa;m21_a_un_accident_grave_s3;m21c_mois_de_l_accident_grave;m21a6;m21a__la_perte_d_emploi_s1;m21a__la_perte_d_emploi_s2;m21a__la_perte_d_emploi_s3;m21c_mois_de_la_perte_d_emploi;m21a7;m21a__la_perte_de_r_colte_s1;m21a__la_perte_de_r_colte_s2;m21a__la_perte_de_r_colte_s3;m21c_mois_de_la_perte_de_recolt;m21a8;m21a__une_longue_maladie_d_un_sc;m21a__une_longue_maladie_d_un_s2;m21a__une_longue_maladie_d_un_s3;m21c_mois_d_une_longue_maladie;m21a9;m21_a_maladie_d_un_enfant_s1;m21_a_maladie_d_un_enfant_s2;m21_a_maladie_d_un_enfant_s3;m21c_mois_de_la_maladie_d_un_en;m21a10;m21_a_handicap_d_un_soutien_s1;m21_a_handicap_d_un_soutien_s2;m21_a_handicap_d_un_soutien_s3;m21c_mois_de_l_handicap_d_un_so;m21a11;m21_a_perte_principal_moyen_p_s1;m21_a_perte_principal_moyen_p_s2;m21_a_perte_principal_moyen_p_s3;m21c_mois_de_perte_principal_mo;m21a12;m21_a_perte_de_b_tail_s1;m21_a_perte_de_b_tail_s2;m21_a_perte_de_b_tail_s3;m21c_mois_de_la_perte_de_betail;m21a13;m21_a_hausse_des_prix_s1;m21_a_hausse_des_prix_s2;m21_a_hausse_des_prix_s3;m21c_mois_de_l_hausse_des_prix;m21a14;m21_a_autres_probl_mes_s1;m21_a_autres_probl_mes_s2;m21_a_autres_probl_mes_s3;m21c_mois_de_autres_problemes;m21bis_a;m21bis_b;m21bis_c;m21bis_d;m21bis_e;m21bis_f;m21bis_g;m21bis_h;m21bis_i;m21bis_j;m21bis_k;m21bis_l;m22a;m22b;m22c;m22d;m22e;m22f;m22g;m22h;m22i;m22j;m22k;m22l;m22m;m22n;m22q;m22p;m22o;m22r;m22s;m22t;m23a1;m23a2;m23a3;m23a4;m23a5;m23a6;m23a7;m23a8;m23b1;m23b2;m23b3;m23b4;m23b5;m23b6;m23b7;m23b8;m24;m25;i9;i10
SN2019-0412010103001-002;SAINT-LOUIS;DAGANA;MBANE;MBANE;H1 BELELE DIABY;Rural;1;NA;2;NA;3;4;NA;4;NA;7;NA;7;NA;1;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Autre;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0;0;3;3;3;3;0;0;0;0;3;0;7;7;7;7;5;NA;NA;NA;5;5;5;5;NA;NA;NA;NA;5;NA;3;5;5;5;2;0;0;0;0;0;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;DON DE COVID;2;15;15;15;15;0;15;15;15;60;60;60;60;0;60;60;60;3;99;1;1
SN2019-0412010103001-004;SAINT-LOUIS;DAGANA;MBANE;MBANE;H1 BELELE DIABY;Rural;1;NA;1;NA;5;4;NA;1;NA;3;NA;7;NA;2;NA;5;NA;11;NA;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;1236;1;1;1;0;0;1;1;0;9;20;10;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;0;2;4;2;2;4;0;0;0;0;4;0;3;7;5;0;8;5;NA;8;5;6;5;5;NA;NA;NA;NA;6;NA;5;5;5;NA;1;5;4;6;5;1;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;8;9;10;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;4;1;12;6;1;NA;NA;NA;NA;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;1;1;12;12;12;3;12;3;12;4;60;60;60;25;50;20;45;2;95;1;1
SN2019-0412010103001-005;SAINT-LOUIS;DAGANA;MBANE;MBANE;H1 BELELE DIABY;Rural;1;NA;1;NA;4;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;2;2;0;0;0;0;0;0;0;0;5;0;3;4;3;2;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;4;4;4;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;10;0;0;15;75;75;75;75;75;10;10;2;50;1;1
SN2019-0412010103500-001;SAINT-LOUIS;DAGANA;MBANE;MBANE;PAMPINABE I;Rural;1;NA;1;NA;4;4;NA;4;NA;7;NA;7;NA;2;NA;5;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;1237;1;1;1;0;0;0;1;0;7;10;12;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0;3;0;2;1;1;0;0;0;0;4;0;3;3;5;4;5;NA;NA;5;NA;5;5;5;NA;NA;NA;NA;5;NA;5;5;5;5;1;5;1;3;2;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;6;1;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;5;13;9;9;9;9;9;0;35;45;40;40;40;40;45;75;2;95;1;1
SN2019-0412010102700-008;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;1;NA;4;3;NA;1;NA;1;NA;1;NA;2;NA;3;NA;1;NA;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;4;0;0;0;0;0;0;0;0;0;6;0;0;5;5;4;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;5;5;5;1;3;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;15;10;10;10;10;10;5;2;2;50;1;1
SN2019-0412010102700-011;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;1;NA;3;3;NA;1;NA;1;NA;1;NA;2;NA;3;NA;1;NA;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;0,400000006;0;7;5;0;2;0;5;5;5;0;0;0;0;5;0;4;5;5;3;5;5;NA;5;NA;5;5;5;NA;NA;NA;NA;5;NA;5;5;5;5;1;5;1;3;2;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;5;1;NA;NA;NA;NA;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;6;6;5;5;5;5;0;5;2;95;1;1
SN2019-0412010103800-001;SAINT-LOUIS;DAGANA;MBANE;MBANE;SANEINTE TACQUE;Rural;3;NA;1;NA;1;3;NA;1;NA;1;NA;1;NA;2;NA;1;NA;3;NA;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0,5;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0,5;0;7;0;0;0;6;1;0;0;0;0;0;0;6;0;0;6;6;5;4;NA;NA;NA;4;5;NA;NA;NA;NA;NA;NA;5;NA;NA;5;5;5;1;3;3;2;1;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;10;1;TRUE;NA;NA;TRUE;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;3;3;3;3;3;0;0;3;25;25;25;25;25;2;10;2;98;1;1
SN2019-0412010103800-003;SAINT-LOUIS;DAGANA;MBANE;MBANE;SANEINTE TACQUE;Rural;3;NA;1;NA;2;3;NA;1;NA;1;NA;1;NA;2;NA;3;NA;1;NA;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;4;0;0;0;0;0;0;0;0;0;6;0;4;5;5;4;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;4;3;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;3;3;3;3;0;0;0;10;30;30;30;30;10;5;15;2;50;1;1
SN2019-0412010102700-013;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;1;NA;1;3;NA;1;NA;1;NA;1;NA;2;NA;1;NA;3;NA;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;123;1;1;1;0;0;0;1;0;1;1;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;TRUE;NA;0;NA;NA;NA;NA;FALSE;NA;2;0;7;6;0;0;6;1;1;0;0;0;0;0;6;1;3;6;6;6;5;5;NA;NA;5;5;5;NA;NA;NA;NA;NA;5;5;5;5;5;5;1;3;2;2;1;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;11;1;NA;NA;NA;NA;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;10;15;10;10;10;12;1;9;3;98;1;1
SN2019-0412010102700-021;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;6;NA;3;3;NA;1;NA;1;NA;1;NA;2;NA;1;NA;1;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;0,5;0,5;7;4;0;0;6;1;0;0;0;0;0;0;6;0;0;5;6;5;4;5;NA;NA;5;5;NA;NA;NA;NA;NA;NA;5;NA;NA;5;5;5;1;3;2;0;1;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;1;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;8;1;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;11;15;15;15;15;15;1;15;2;98;1;1
SN2019-0412010102700-034;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;1;NA;3;3;NA;1;NA;1;NA;1;NA;2;NA;3;NA;1;NA;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;4;0;0;0;0;0;0;0;0;0;5;0;3;5;4;4;9;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;3;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;10;15;10;10;15;10;10;10;2;50;1;1
SN2019-0412010102700-036;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;6;NA;3;3;NA;1;NA;1;NA;1;NA;2;NA;1;NA;1;NA;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0,5;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0,5;0;7;6;0;3;6;1;0;0;0;0;0;0;6;0;2;6;6;6;5;5;NA;5;5;5;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;3;2;1;2;5;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;NA;NA;1;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;NA;NA;12;1;NA;NA;NA;NA;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;NA;2;0;0;0;0;0;0;0;0;5;15;9;9;9;8;1;3;3;98;1;1
SN2019-0412010100400-008;SAINT-LOUIS;DAGANA;MBANE;MBANE;BISNABE BIKIDIWI;Rural;1;NA;1;NA;6;4;NA;4;NA;7;NA;7;NA;2;NA;9;NA;7;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenu de l'élevage;NA;123;1;1;1;0;0;0;1;0;4;3;10;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;3;0;3;4;0;0;0;0;0;0;0;1;0;2;6;7;4;5;5;NA;5;5;NA;NA;NA;NA;NA;NA;NA;5;NA;1;5;5;5;1;3;2;2;1;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;12;1;NA;NA;NA;NA;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;5;10;5;5;5;5;5;5;45;90;45;45;45;45;45;45;2;98;1;1
SN2019-0412010104400-004;SAINT-LOUIS;DAGANA;MBANE;MBANE;TETHIAME MALAL;Rural;1;NA;1;NA;2;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;3;0;0;1;0;0;0;0;0;NA;NA;3;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;2;2;0;0;0;0;0;0;1;0;5;0;3;5;4;4;5;5;5;5;NA;NA;NA;NA;NA;NA;5;NA;5;NA;5;5;5;5;1;6;5;4;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;17;12;6;6;6;0;6;5;1;40;40;14;40;10;40;2;50;1;1
SN2019-0412010104600-001;SAINT-LOUIS;DAGANA;MBANE;MBANE;WEYNDOU SAMBA;Rural;1;NA;1;NA;1;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;0;0;0;0;0;0;0;0;0;6;0;3;6;5;4;9;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;9;5;5;9;1;5;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;15;999;15;15;15;15;999;15;2;50;1;1
SN2019-0412010102700-040;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBANE;Rural;3;NA;1;NA;2;3;NA;1;NA;1;NA;1;NA;2;NA;3;NA;1;NA;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;0,400000006;0;7;6;0;0;0;5;5;5;0;0;0;0;7;0;3;5;5;7;1;5;NA;NA;NA;5;5;5;NA;NA;NA;NA;5;NA;8;5;5;5;1;3;2;3;2;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;11;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;7;1;NA;NA;NA;NA;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;0;0;0;0;0;0;0;5;5;5;5;5;0;2;2;95;1;1
SN2019-0412010103200-001;SAINT-LOUIS;DAGANA;MBANE;MBANE;NIASSANTE I;Rural;1;NA;1;NA;2;4;NA;4;NA;4;NA;7;NA;2;NA;9;NA;10;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0;4;1;0;0;0;0;0;0;0;4;0;2;7;7;4;5;NA;NA;5;5;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;3;2;2;1;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;10;1;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;15;0;0;0;0;6;3;12;999;13;13;13;12;70;35;2;98;1;1
SN2019-0412010100400-011;SAINT-LOUIS;DAGANA;MBANE;MBANE;BISNABE BIKIDIWI;Rural;1;NA;1;NA;4;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;6;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;123;1;1;1;0;0;0;1;0;1;2;3;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;2;2;0;0;0;0;0;0;1;0;5;0;3;5;4;2;5;5;5;5;NA;NA;NA;NA;NA;NA;5;NA;5;NA;5;5;5;5;1;5;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;5;3;3;3;3;3;3;3;40;10;40;40;40;40;40;40;2;50;1;1
