0@ID_REP;1@REGION;2@DEPARTEMENT;3@COMMUNE;4@CAV;5@CONCESSIONS;6@MENAGES;7@QUARTIERS-VILLAGES;8@HOMMES;9@FEMMES;10@POPULATION;11@OBSERVATIONS;Probabilité;Nombre de ménage à tirer;LONGITUDE;LATITUDE;X_COORD;Y_COORD
8644;SAINT-LOUIS;DAGANA;MBANE;MBANE;66;72;SOVONABE I;272;269;542;-;0,028313016;5;423763;1811006;-15,71389752;16,37911821
8645;SAINT-LOUIS;DAGANA;MBANE;MBANE;151;160;TEMEYE;799;698;1498;-;0,062917814;11;423005;1812741;-15,72105286;16,39477731
8646;SAINT-LOUIS;DAGANA;MBANE;MBANE;43;78;TETHIANE MALAL;216;226;443;-;0,030672434;6;447228;1795248;-15,49381697;16,23729946
8647;SAINT-LOUIS;DAGANA;MBANE;MBANE;139;158;THIAGO;625;575;1201;-;0,062131341;11;423204;1813123;-15,71920202;16,39823673
8648;SAINT-LOUIS;DAGANA;MBANE;MBANE;65;112;WENDOU SAMBA;378;371;750;-;0,04404247;8;430418;1798588;-15,65121045;16,26706722
8649;SAINT-LOUIS;DAGANA;MBANE;MBANE;51;81;WODABE NIASSANTE (LOUMBI DIANI);219;247;467;-;0,031852143;6;441894;1796386;-15,54375689;16,24746467
14741;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;14;21;AMALY II;99;113;213;-;0,017841971;1;462477;1741876;-15,35028449;15,75508775
14742;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;10;AMALY III;29;37;67;-;0,008496177;1;476220;1749677;-15,22206862;15,82578132
14743;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;4;9;AMALY IV;28;32;61;-;0,007646559;1;463740;1744055;-15,33852695;15,77480553
14744;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;24;27;AMALY MAURE;85;85;170;-;0,022939677;2;470468;1739909;-15,27566369;15,73741221
14745;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;15;16;BALDIENE SOWNABE;68;69;137;-;0,013593883;1;501242;1743385;-14,98840484;15,76901129
14746;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;6;13;BAYTIL MAKHDISS (BOGAL DANAYAL II);39;64;104;-;0,01104503;1;484330;1735519;-15,14624225;15,69784905
14747;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;15;BEDE PAMPINABE;39;44;84;-;0,012744265;1;458667;1765476;-15,38625696;15,96837926
14748;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;11;21;BELEL BAWAMY;53;53;107;-;0,017841971;1;462847;1759394;-15,34710083;15,91346273
15166;LOUGA;LINGUERE;THIEL;BARKEDJI;8;8;BELEL DOCKY;28;31;59;-;0,00608365;1;516417;1620765;-14,84753249;14,66034746
14749;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;10;21;BELEL DOUTEY I;61;84;145;-;0,017841971;1;491259;1736622;-15,08158052;15,70785459
14750;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;13;27;BELEL HOTONDE;67;66;133;-;0,022939677;2;462100;1762629;-15,35413083;15,94269676
14751;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;12;25;BELEL MOUTHIETEKY;91;109;201;-;0,021240442;2;507831;1737599;-14,92690944;15,7166903
14753;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;21;44;BELEL NDOULO;129;150;279;-;0,037383178;3;460048;1756068;-15,37319458;15,88335106
15167;LOUGA;LINGUERE;THIEL;BARKEDJI;29;34;BELEL NELBY KHOUBE;132;133;266;-;0,025855513;2;482474;1650985;-15,16297084;14,93357013
14755;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;14;30;BOCKY SAKEYAL;74;64;138;-;0,02548853;2;475663;1742166;-15,22719442;15,75787263
14756;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;10;BOCKY THIAWO II;33;44;77;-;0,008496177;1;477199;1765040;-15,21307243;15,96467872
15168;LOUGA;LINGUERE;THIEL;BARKEDJI;10;13;BODE;62;66;128;-;0,009885932;1;502287;1647263;-14,97873691;14,89997552
15169;LOUGA;LINGUERE;THIEL;BARKEDJI;12;14;BODE THIEL;43;49;92;-;0,010646388;1;481226;1648493;-15,17455753;14,91103078
14757;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;4;13;BOGAL DANAYAL I;36;31;68;-;0,01104503;1;485222;1735630;-15,13791824;15,69885797
15170;LOUGA;LINGUERE;THIEL;BARKEDJI;9;15;BOULERY;54;64;118;-;0,011406844;1;500448;1653264;-14,99583373;14,95423323
14758;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;10;15;BOWDY DIOYE;50;58;109;-;0,012744265;1;499474;1757919;-15,00491385;15,9004069
15171;LOUGA;LINGUERE;THIEL;BARKEDJI;16;21;DANEDJI;89;89;178;-;0,015969582;2;492276;1650534;-15,07182269;14,92953931
15172;LOUGA;LINGUERE;THIEL;BARKEDJI;14;15;DAROU KHOUDOSS;132;96;229;-;0,011406844;1;496116;1655620;-15,03612362;14,97553161
15174;LOUGA;LINGUERE;THIEL;BARKEDJI;9;14;DAROU NAHIM;67;62;129;-;0,010646388;1;526220;1703668;-14,755639;15,4098057
15175;LOUGA;LINGUERE;THIEL;BARKEDJI;10;13;DAROU NAHIM (SILAT);73;57;131;-;0,009885932;1;505307;1648758;-14,95065578;14,91348794
15176;LOUGA;LINGUERE;THIEL;BARKEDJI;11;12;DAROU SALAM MBACKE;63;61;124;-;0,009125475;1;520656;1618298;-14,80818371;14,63801306
15177;LOUGA;LINGUERE;THIEL;BARKEDJI;22;22;DAROU SALAM THIEL;108;127;235;-;0,016730038;2;488536;1642635;-15,10656445;14,85810854
15178;LOUGA;LINGUERE;THIEL;BARKEDJI;6;11;DEROUDOU;42;36;78;-;0,008365019;1;498401;1633613;-15,01485807;14,77656152
14759;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;18;43;DIABE SOWNABE;147;152;299;-;0,03653356;3;500078;1745708;-14,99927173;15,7900129
15181;LOUGA;LINGUERE;THIEL;BARKEDJI;23;27;DIAGA;144;137;282;-;0,020532319;2;495491;1631496;-15,04189441;14,75741753
15182;LOUGA;LINGUERE;THIEL;BARKEDJI;38;48;DIAGA DOLY;192;188;381;-;0,036501901;3;492474;1629697;-15,06992102;14,74114524
15183;LOUGA;LINGUERE;THIEL;BARKEDJI;8;14;DIALY FAFA;26;32;58;-;0,010646388;1;492235;1656952;-15,07222335;14,98756596
15184;LOUGA;LINGUERE;THIEL;BARKEDJI;38;44;DIAM WELY;278;236;515;-;0,033460076;3;491900;1637558;-15,07527829;14,81221798
15185;LOUGA;LINGUERE;THIEL;BARKEDJI;33;36;DIMISKHA;166;218;385;-;0,027376426;3;496355;1650384;-15,03389334;14,92819188
14760;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;12;17;DIOULARE GAOUDY;51;55;107;-;0,0144435;1;469663;1773933;-15,28360826;16,04499288
15186;LOUGA;LINGUERE;THIEL;BARKEDJI;32;64;DIOULKY;287;296;584;-;0,048669202;5;520915;1643504;-14,80557633;14,86590787
15187;LOUGA;LINGUERE;THIEL;BARKEDJI;54;70;DOLY CENTRE;256;277;534;-;0,053231939;5;484067;1630748;-15,14803334;14,75061096
15188;LOUGA;LINGUERE;THIEL;BARKEDJI;25;31;DOLY II;124;108;232;-;0,023574144;2;488664;1632872;-15,10533196;14,7698383
15189;LOUGA;LINGUERE;THIEL;BARKEDJI;5;7;DOMOKE THIEL;35;28;64;-;0,005323194;1;517979;1627682;-14,83297848;14,72287709
14761;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;21;22;FETO PATOUDE;76;97;174;-;0,018691589;2;468618;1772299;-15,29335585;16,03020794
